BRNCH_CD,GO_LIVE_DATE,LABEL_TYPE
2G,2021-10-31,DEMAND TANDEM WITH CARTS
9U,2020-02-16,MOBILE TEAR
9Q,2022-02-06,DEMAND TANDEM WITH CARTS
9P,2022-01-02,DEMAND TANDEM WITH CARTS
9O,2020-10-18,AUTO PEEL
9L,2020-03-22,AUTO PEEL
9J,2021-03-26,PRE-PRINT TANDEM
9I,2021-08-01,DEMAND TANDEM WITH CARTS
9D,2022-06-19,DEMAND TANDEM WITH CARTS
9B,2022-01-30,DEMAND TANDEM WITH CARTS
9A,2021-04-23,PRE-PRINT TANDEM
8V,2021-06-06,PRE-PRINT TANDEM
8U,2021-01-17,PRE-PRINT TANDEM
8T,2021-08-20,PRE-PRINT TANDEM
8S,2020-02-23,DEMAND TANDEM WITH CARTS
8O,2019-08-18,MOBILE TEAR
8N,2019-10-13,DEMAND TANDEM WITH CARTS
8L,2021-06-27,PRE-PRINT TANDEM
8E,2021-01-10,PRE-PRINT TANDEM
8B,2022-10-23,DEMAND TANDEM WITH CARTS
8A,2021-12-03,DEMAND TANDEM WITH CARTS
6Z,2019-03-31,MOBILE TEAR
6Y,2020-01-05,MOBILE TEAR
6W,2021-02-28,PRE-PRINT TANDEM
6V,2021-01-17,PRE-PRINT TANDEM
6U,2020-01-05,MOBILE TEAR
6N,2020-11-29,PRE-PRINT TANDEM
6J,2022-05-22,DEMAND TANDEM WITH CARTS
6I,2019-05-05,MOBILE TEAR
6H,2019-10-13,MOBILE TEAR
6G,2022-03-13,DEMAND TANDEM WITH CARTS
6F,2022-02-20,DEMAND TANDEM WITH CARTS
6D,2022-01-02,DEMAND TANDEM WITH CARTS
6B,2019-10-13,DEMAND TANDEM WITH CARTS
6A,2019-06-09,MOBILE TEAR
5Z,2022-06-26,DEMAND TANDEM WITH CARTS
5Y,2022-01-30,DEMAND TANDEM WITH CARTS
5T,2021-08-01,DEMAND TANDEM WITH CARTS
5O,2022-03-20,DEMAND TANDEM WITH CARTS
5I,2022-04-10,DEMAND TANDEM WITH CARTS
5G,2022-03-20,DEMAND TANDEM WITH CARTS
5E,2022-05-29,DEMAND TANDEM WITH CARTS
5D,2021-10-31,DEMAND TANDEM WITH CARTS
4V,2019-08-18,MOBILE TEAR
4U,2021-01-10,PRE-PRINT TANDEM
4R,2021-06-06,PRE-PRINT TANDEM
4Q,2020-01-05,MOBILE TEAR
4P,2022-05-29,DEMAND TANDEM WITH CARTS
4O,2021-09-01,DEMAND TANDEM WITH CARTS
4J,2020-01-05,MOBILE TEAR
4I,2019-10-13,MOBILE TEAR
4H,2021-01-03,DEMAND TANDEM WITH CARTS
4C,2021-11-14,DEMAND TANDEM WITH CARTS
3Z,2022-01-02,DEMAND TANDEM WITH CARTS
3Y,2022-02-13,DEMAND TANDEM WITH CARTS
3W,2019-05-05,MOBILE TEAR
3V,2019-08-18,MOBILE TEAR
3M,2022-06-05,DEMAND TANDEM WITH CARTS
3L,2021-02-21,DEMAND TANDEM WITH CARTS
3K,2020-01-05,DEMAND TANDEM WITH CARTS
3J,2021-04-18,PRE-PRINT TANDEM
3F,2022-01-02,DEMAND TANDEM WITH CARTS
3D,2021-03-14,PRE-PRINT TANDEM
2Z,2019-05-05,MOBILE TEAR
2R,2022-03-27,DEMAND TANDEM WITH CARTS
2O,2019-08-25,DEMAND TANDEM WITH CARTS
2N,2022-05-01,DEMAND TANDEM WITH CARTS
2L,2021-12-05,DEMAND TANDEM WITH CARTS
2J,2019-10-13,MOBILE TEAR
2I,2021-02-14,DEMAND TANDEM WITH CARTS
